,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,elev_high,elev_low
0,2,Evening Weight Training,0.0,2073,2073,0.0,WeightTraining,WeightTraining,7357690786,2022-06-22T22:14:39Z,2022-06-22T18:14:39Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,113.2,146.0,False,True,7839550435,7839550435,garmin_push_9073675919,False,0,0,False,37571002,1,a7357690786,,2,,,,
1,2,Evening Run,8053.7,2298,2812,13.2,Run,Run,7357689921,2022-06-21T22:32:23Z,2022-06-21T18:32:23Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.613059962168336, -80.03843631595373]","[32.619473626837134, -80.05142147652805]",3.505,4.497,True,168.1,185.0,False,True,7839549418,7839549418,garmin_push_9073674906,False,0,0,False,37571002,1,a7357689921,qv`fEfoogN@BNBj@Bd@FRIZWJAn@ZlCf@hDJDLPhAH|@@nBBd@b@Df@g@LIH@RNxBQBe@WmBWkDQyHIaBOeCEoAS{KCqDMaC?s@G}D@i@?gKOxA?~@?lCD|BDjA@vCNzBPxLV|FP|GXfFB\Rz@Fr@MzAEfBmCR]JIFAVEBYFQg@[[]OU}@E{@E]GKYSc@MO]WMc@MsAS[O]C]RSACAWAi@BKCYPQn@A~@I|@At@OdCMj@QjCUrA?l@Ib@DxCDt@Fh@Rz@Jt@HR@jBHj@Vh@JJj@d@zAdArAjA`@RT`@`@Vp@z@`@Tp@dBLzAOd@Y~Ai@~AKd@i@xAe@x@a@Va@NcATm@De@Jk@X]^_AdCa@r@SNqAVe@CiA[W_@]_@c@uAc@iB[a@]YqAIg@@m@Hg@Ce@?[C[U_@OwBi@OCk@Bs@L_@Ig@Ss@Oa@Yu@Yc@U[W]GCDIb@@`@Tn@XnABhDBl@Ph@^v@,2,,80.0,9.0,-2.1
3,2,Afternoon Weight Training,0.0,2985,2985,0.0,WeightTraining,WeightTraining,7341902172,2022-06-20T21:55:54Z,2022-06-20T17:55:54Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,119.0,154.0,False,True,7822352365,7822352365,garmin_push_9055310039,False,0,0,False,37571002,1,a7341902172,,2,,,,
4,2,Afternoon Weight Training,0.0,365,365,0.0,WeightTraining,WeightTraining,7331142624,2022-06-18T21:57:44Z,2022-06-18T17:57:44Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,135.0,150.0,False,True,7810517578,7810517578,garmin_push_9042769417,False,0,0,False,37571002,1,a7331142624,,2,,,,
5,2,Afternoon Weight Training,0.0,2790,2790,0.0,WeightTraining,WeightTraining,7331142315,2022-06-18T21:10:43Z,2022-06-18T17:10:43Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,132.5,156.0,False,True,7810517251,7810517251,garmin_push_9042769088,False,0,0,False,37571002,1,a7331142315,,2,,,,
6,2,Afternoon Weight Training,0.0,1045,1045,0.0,WeightTraining,WeightTraining,7326238135,2022-06-17T20:08:30Z,2022-06-17T16:08:30Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,121.5,152.0,False,True,7805118690,7805118690,garmin_push_9037025853,False,0,0,False,37571002,1,a7326238135,,2,,,,
7,2,Afternoon Run,1766.9,491,491,0.0,Run,Run,7326237839,2022-06-17T19:57:03Z,2022-06-17T15:57:03Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.599,3.736,True,149.2,163.0,False,True,7805118434,7805118434,garmin_push_9037025631,False,0,0,False,37571002,1,a7326237839,,2,,79.5,,
9,2,Evening Weight Training,0.0,2524,2524,0.0,WeightTraining,WeightTraining,7326237710,2022-06-17T00:52:41Z,2022-06-16T20:52:41Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,115.8,155.0,False,True,7805118269,7805118269,garmin_push_9037025472,False,0,0,False,37571002,1,a7326237710,,2,,,,
10,2,Evening Run,8122.0,2412,2700,55.5,Run,Run,7326236962,2022-06-15T22:58:50Z,2022-06-15T18:58:50Z,(GMT-05:00) America/New_York,-14400.0,,,,2,0,0,1,0,False,False,False,False,everyone,False,,"[33.78239203244448, -84.35503288172185]","[33.782389014959335, -84.35559782199562]",3.367,6.38,True,176.1,188.0,False,True,7805117437,7805117437,garmin_push_9037024812,False,0,0,False,37571002,1,a7326236962,}bemE~qzaO@tARfHNtBJpHXrHN|HFfAHnCGRHfA?z@Hz@Dz@AZDv@@dADj@DnBJ|B\vA`AnCL~@?TKh@ORKFS?}A_@OGAE?EHOdCcB`@e@\O`@k@rCoBl@UrAcA^SbCeAhA]pAUh@O`B]z@S|@QrAQ|Be@h@ElCi@r@?VCfDe@~@Ip@@^CXI`@YxAS~@Yl@@x@o@lBeAj@e@dBmAv@{@h@[\Y|@qAVQh@o@jByAdAkApBgBt@e@b@Q|Bo@xBS`@DdA?xB^lBRvA`@^Th@NrAj@j@b@RXz@n@f@~@d@jA^^Xb@Z\TLf@|@?p@Oq@CWGOQQc@u@k@o@KWM@EEOOg@aAc@m@s@a@KY[]]]a@YqD_Bc@Em@Wm@KcBKw@?WD{@@qAPaAXyAn@g@XyAjAc@f@g@Rg@b@c@h@mAhA[^gAbAa@V_@p@mBjBmAz@i@TwA|@mALM?]FUZYRI?cA\g@Rw@Dk@J]N{@LiBF_BTw@Bq@JuAXiAPc@Nq@JmAHiDt@kA\aBRuA`@u@PaAb@m@^}AjAg@TkAv@iBzA}@bAqBhA]^EPF@pAXVDHAPQLU@SIm@W_ASc@a@cBSsAIwDAeCC_@MwC@g@GuAIw@@QIi@Cs@Es@E{AA{CMcBCwBGo@@aBSuDAq@Ge@?qCQ{CAyBGoA,2,,79.1,300.0,270.3
12,2,Afternoon Weight Training,0.0,305,305,0.0,WeightTraining,WeightTraining,7326235773,2022-06-15T18:38:34Z,2022-06-15T14:38:34Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,137.5,148.0,False,True,7805116205,7805116205,garmin_push_9037023636,False,0,0,False,37571002,1,a7326235773,,2,,,,
